grade,level,word,englishHint,englishScenario,tagalogHint,tagalogScenario,category
1,EASY,CAT,A small furry pet that says meow,This small animal purrs and likes to chase mice. Can you spell it?,Isang maliit na alaga na tumutunog ng meow,Ang maliit na hayop na ito ay umuungol at mahilig humabol ng daga. Marunong ka bang magbaybay nito?,Animals
1,EASY,DOG,A loyal pet that barks and wags its tail,This friendly animal is known as man's best friend. Can you spell it?,Isang tapat na alaga na tumatahol,Ang kaibigan na hayop na ito ay kilala bilang pinakamatalik na kaibigan ng tao. Marunong ka bang magbaybay nito?,Animals
1,EASY,SUN,The bright star that gives us light and warmth,This bright ball in the sky gives us light during the day. Can you spell it?,Ang maliwanag na bituin na nagbibigay ng liwanag,Ang maliwanag na bilog na ito sa langit ay nagbibigay ng liwanag sa umaga. Marunong ka bang magbaybay nito?,Nature
1,EASY,RUN,To move quickly with your legs,When you move very fast on your feet. Can you spell it?,Tumakbo nang mabilis gamit ang iyong mga binti,Kapag gumagalaw ka nang napakabilis gamit ang iyong mga paa. Marunong ka bang magbaybay nito?,Actions
1,EASY,BALL,A round toy you can throw and catch,This round object bounces and is used in many games. Can you spell it?,Isang bilog na laruan na maaaring ihagis,Ang bilog na bagay na ito ay tumalon at ginagamit sa maraming laro. Marunong ka bang magbaybay nito?,Toys
1,EASY,TREE,A tall plant with leaves and branches,This tall plant has a trunk and gives us shade. Can you spell it?,Isang matangkad na halaman na may dahon,Ang matangkad na halaman na ito ay may puno at nagbibigay ng lilim. Marunong ka bang magbaybay nito?,Nature
1,EASY,BOOK,Something with pages you read,You open this to read stories and learn new things. Can you spell it?,Isang bagay na may mga pahina na binabasa,Binubuksan mo ito upang magbasa ng mga kuwento at matuto. Marunong ka bang magbaybay nito?,School
1,EASY,FISH,An animal that lives and swims in water,This animal has fins and lives in rivers or oceans. Can you spell it?,Isang hayop na nabubuhay sa tubig,Ang hayop na ito ay may palikpik at nakatira sa ilog o dagat. Marunong ka bang magbaybay nito?,Animals
1,EASY,BIRD,An animal with wings that can fly,This creature has feathers and sings in the morning. Can you spell it?,Isang hayop na may pakpak na lumilipad,Ang nilalang na ito ay may balahibo at umaawit sa umaga. Marunong ka bang magbaybay nito?,Animals
1,EASY,STAR,Tiny lights that twinkle in the night sky,These tiny lights appear in the sky when it gets dark. Can you spell it?,Maliliit na ilaw na kumikislap sa gabi,Ang maliliit na ilaw na ito ay lumilitaw sa langit kapag gabi na. Marunong ka bang magbaybay nito?,Space
1,EASY,HAND,The part at the end of your arm with fingers,You use this to hold things and wave hello. Can you spell it?,Ang bahagi sa dulo ng iyong braso na may mga daliri,Ginagamit mo ito upang humawak ng mga bagay at kumaway. Marunong ka bang magbaybay nito?,Body
1,EASY,FOOT,The part at the end of your leg,You stand and walk on this part of your body. Can you spell it?,Ang bahagi sa dulo ng iyong binti,Tumatayo at lumalakad ka gamit ang bahaging ito ng iyong katawan. Marunong ka bang magbaybay nito?,Body
1,EASY,EYE,The part of your face that you see with,You use these two things on your face to look at the world. Can you spell it?,Ang bahagi ng iyong mukha na ginagamit sa pagtingin,Ginagamit mo ang dalawang bagay na ito sa iyong mukha upang tumingin sa mundo. Marunong ka bang magbaybay nito?,Body
1,EASY,EAR,The part of your head that you hear with,You use these on the sides of your head to listen to sounds. Can you spell it?,Ang bahagi ng iyong ulo na ginagamit sa pakikinig,Ginagamit mo ang mga ito sa gilid ng iyong ulo upang makinig ng mga tunog. Marunong ka bang magbaybay nito?,Body
1,EASY,NOSE,The part of your face that you smell with,You use this in the middle of your face to smell flowers. Can you spell it?,Ang bahagi ng iyong mukha na ginagamit sa pag-amoy,Ginagamit mo ito sa gitna ng iyong mukha upang maamoy ang mga bulaklak. Marunong ka bang magbaybay nito?,Body
1,EASY,HEAD,The top part of your body where your brain is,This is the round part at the top of your body. Can you spell it?,Ang itaas na bahagi ng iyong katawan kung saan ang utak,Ito ang bilog na bahagi sa itaas ng iyong katawan. Marunong ka bang magbaybay nito?,Body
1,EASY,ARM,The long part from shoulder to hand,You use these two long parts to hug people. Can you spell it?,Ang mahabang bahagi mula balikat hanggang kamay,Ginagamit mo ang dalawang mahabang bahaging ito upang yakapin ang mga tao. Marunong ka bang magbaybay nito?,Body
1,EASY,LEG,The long part from hip to foot,You use these two long parts to walk and run. Can you spell it?,Ang mahabang bahagi mula balakang hanggang paa,Ginagamit mo ang dalawang mahabang bahaging ito upang lumakad at tumakbo. Marunong ka bang magbaybay nito?,Body
